Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2023-08-23,20.7865,21.95289390295171,19.62010609704829
2023-08-24,20.92,22.219408772440595,19.62059122755941
2023-08-25,21.0335,22.410839540754985,19.656160459245015
2023-08-28,21.113999999999997,22.654272019721734,19.57372798027826
2023-08-29,21.214499999999997,22.87654028072056,19.552459719279437
2023-08-30,21.3245,23.097246605219322,19.55175339478068
2023-08-31,21.398,23.207676912135597,19.588323087864403
2023-09-01,21.5265,23.348913379647062,19.704086620352935
2023-09-04,21.636499999999998,23.425181078337005,19.84781892166299
2023-09-05,21.783499999999997,23.616613830559988,19.950386169440005
2023-09-06,21.927500000000002,23.798102210941654,20.05689778905835
2023-09-08,22.062,23.929648112917707,20.194351887082295
2023-09-11,22.197499999999998,24.010980224958807,20.38401977504119
2023-09-12,22.336000000000002,24.073359157487634,20.59864084251237
2023-09-13,22.4495,24.056019284206446,20.842980715793555
2023-09-14,22.569499999999998,24.160374966141465,20.97862503385853
2023-09-15,22.6935,24.216810453204793,21.170189546795207
2023-09-18,22.823500000000003,24.266162377981416,21.38083762201859
2023-09-19,22.963,24.233210923222824,21.692789076777178
2023-09-20,23.0915,24.196689195520676,21.986310804479324
2023-09-21,23.1445,24.23587238567385,22.05312761432615
2023-09-22,23.209,24.287417944564535,22.130582055435465
2023-09-25,23.2885,24.327796827060368,22.24920317293963
2023-09-26,23.328,24.31252446442612,22.34347553557388
2023-09-27,23.402,24.38810557777919,22.415894422220813
2023-09-28,23.466,24.44827233869703,22.48372766130297
2023-09-29,23.56,24.429869923730806,22.69013007626919
2023-10-02,23.612,24.40937992001493,22.814620079985065
2023-10-03,23.671,24.292810599019948,23.04918940098005
2023-10-04,23.6445,24.367955887427524,22.921044112572478
2023-10-05,23.616999999999997,24.415870254929693,22.8181297450703
2023-10-06,23.6205,24.41467550758193,22.82632449241807
2023-10-09,23.6755,24.52925887141934,22.82174112858066
2023-10-10,23.734,24.670384986053374,22.79761501394663
2023-10-11,23.807,24.75301880475405,22.860981195245948
2023-10-13,23.891000000000002,25.05523727008439,22.726762729915613
2023-10-16,23.9885,25.379361527785782,22.597638472214214
2023-10-17,24.112,25.8441188727898,22.379881127210197
2023-10-18,24.2625,26.391091083322706,22.133908916677292
2023-10-19,24.404,26.80406491140309,22.00393508859691
2023-10-20,24.5465,27.075533724359627,22.017466275640377
2023-10-23,24.592499999999998,27.095398319948483,22.089601680051512
2023-10-24,24.6495,27.139805202179232,22.159194797820767
2023-10-25,24.7405,27.166113107519287,22.314886892480715
2023-10-26,24.7815,27.18989999300713,22.37310000699287
2023-10-27,24.816,27.200532614470735,22.431467385529263
2023-10-30,24.8315,27.20289332793833,22.460106672061666
2023-10-31,24.853,27.193761009856438,22.512238990143565
2023-11-01,24.893,27.179676282523086,22.606323717476915
2023-11-03,24.995,27.055643742033038,22.934356257966964
2023-11-06,25.092000000000002,26.896165939386695,23.28783406061331
2023-11-07,25.1415,26.798526823783433,23.484473176216568
2023-11-08,25.114,26.839003737601114,23.388996262398887
2023-11-09,25.1025,26.84518848561517,23.359811514384827
2023-11-10,25.0885,26.85489120659547,23.322108793404528
2023-11-13,25.067999999999998,26.831615902806657,23.30438409719334
2023-11-14,25.050500000000003,26.79792487226533,23.303075127734676
2023-11-16,24.9765,26.621707073833093,23.33129292616691
2023-11-17,24.9135,26.329041927096966,23.49795807290303
2023-11-20,24.8575,26.029863784030468,23.685136215969536
2023-11-21,24.8105,25.774231235738377,23.846768764261626
2023-11-22,24.8485,25.851364843704182,23.84563515629582
2023-11-23,24.8685,25.90453037955911,23.832469620440893
2023-11-24,24.8855,25.954379885921373,23.816620114078628
2023-11-27,24.908,25.999529106105125,23.816470893894877
2023-11-28,24.959,26.112975280224575,23.805024719775425
2023-11-29,25.009,26.165890569360233,23.852109430639768
2023-11-30,25.0955,26.27507128697404,23.915928713025963
2023-12-01,25.16,26.35040019807622,23.96959980192378
2023-12-04,25.182499999999997,26.362809950372494,24.0021900496275
2023-12-05,25.2,26.36673182775464,24.033268172245357
2023-12-06,25.193,26.381667542383802,24.0043324576162
2023-12-07,25.2095,26.327307534511856,24.09169246548814
2023-12-08,25.2395,26.29158514764523,24.18741485235477
2023-12-11,25.2705,26.23250393915426,24.308496060845737
2023-12-12,25.2575,26.24555231056964,24.26944768943036
2023-12-13,25.244999999999997,26.238695918753976,24.25130408124602
2023-12-14,25.282,26.265690152329697,24.298309847670303
2023-12-15,25.281,26.263197321798586,24.29880267820141
2023-12-18,25.294999999999998,26.307459225950097,24.2825407740499
2023-12-19,25.3325,26.42755827770941,24.23744172229059
2023-12-20,25.3765,26.558688425626457,24.194311574373543
2023-12-21,25.4205,26.678827628661782,24.16217237133822
2023-12-22,25.473499999999998,26.83621053419314,24.110789465806857
2023-12-26,25.5555,27.0820437397843,24.028956260215697
2023-12-27,25.619,27.282615593250505,23.955384406749495
2023-12-28,25.6915,27.45656776372107,23.926432236278934
2024-01-02,25.759499999999996,27.671649245441646,23.847350754558345
2024-01-03,25.878500000000003,28.080731165264933,23.676268834735072
2024-01-04,26.012999999999998,28.38108694719486,23.644913052805137
2024-01-05,26.157,28.651035833111287,23.662964166888713
2024-01-08,26.335500000000003,28.765041650513524,23.905958349486482
2024-01-09,26.505000000000003,28.7718642844713,24.238135715528706
2024-01-10,26.623,28.794946495415672,24.45105350458433
2024-01-11,26.7575,28.801776992252687,24.713223007747313
2024-01-12,26.9055,28.730247711473393,25.080752288526607
2024-01-15,27.0505,28.696528393948686,25.404471606051313
2024-01-16,27.151,28.655811930896853,25.646188069103147
2024-01-17,27.240999999999996,28.56467749292048,25.91732250707951
2024-01-18,27.309500000000003,28.48296943987345,26.136030560126557
2024-01-19,27.3555,28.419464285115396,26.291535714884603
2024-01-22,27.403499999999998,28.35314314627352,26.453856853726474
2024-01-23,27.468,28.278551469193445,26.657448530806555
2024-01-24,27.509500000000003,28.20802400780132,26.810975992198685
2024-01-25,27.580000000000002,28.351328314287887,26.808671685712117
2024-01-26,27.673999999999996,28.609080069749776,26.738919930250216
2024-01-29,27.794999999999998,28.938650664366712,26.651349335633284
2024-01-30,27.8865,29.16510573734835,26.60789426265165
2024-01-31,27.940499999999997,29.35848188690128,26.522518113098712
2024-02-01,28.047000000000004,29.760342071109207,26.3336579288908
2024-02-02,28.1305,29.99634226783034,26.264657732169663
